상세URL,상품ID,상세innerURL,썸네일URL,브랜드명,상품명,가격
https://www.lotteon.com/p/product/LO1378088924?sitmNo=LO1378088924_1378088925&mall_no=1&dp_infw_cd=CASec10200001,LO1378088924,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F78%2F08%2F89%2F24%2FDSCRP_LO1378088924,https://contents.lotteon.com/itemimage/LO/13/78/08/89/24/_1/37/80/88/92/5/LO1378088924_1378088925_1.jpg/dims/resizemc/360x360,바쏘옴므,20FW 캐시미어 블렌딩 가디건 3종 택1,"61,620원"
https://www.lotteon.com/p/product/LO1298930669?sitmNo=LO1298930669_1298930670&mall_no=1&dp_infw_cd=CASec10200001,LO1298930669,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F12%2F98%2F93%2F06%2F69%2FDSCRP_LO1298930669,https://contents.lotteon.com/itemimage/LO/12/98/93/06/69/_1/29/89/30/67/0/LO1298930669_1298930670_1.jpg/dims/resizemc/360x360,르젠옴므,르젠 링클프리 스판 일자 밴딩 11부 슬랙스(LNPJ484TO),"19,620원"
https://www.lotteon.com/p/product/LO1378089392?sitmNo=LO1378089392_1378089393&mall_no=1&dp_infw_cd=CASec10200001,LO1378089392,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F78%2F08%2F93%2F92%2FDSCRP_LO1378089392,https://contents.lotteon.com/itemimage/LO/13/78/08/93/92/_1/37/80/89/39/3/LO1378089392_1378089393_1.jpg/dims/resizemc/360x360,바쏘옴므,20FW 라운드 스웨터 5종 택1,"53,820원"
https://www.lotteon.com/p/product/LO1349910526?sitmNo=LO1349910526_1349910527&mall_no=1&dp_infw_cd=CASec10200001,LO1349910526,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F49%2F91%2F05%2F26%2FDSCRP_LO1349910526,https://contents.lotteon.com/itemimage/LO/13/49/91/05/26/_1/34/99/10/52/7/LO1349910526_1349910527_1.jpg/dims/resizemc/360x360,,초경령 SH 오리털 V넥 패딩조끼,"18,110원"
https://www.lotteon.com/p/product/LO1378089814?sitmNo=LO1378089814_1378089815&mall_no=1&dp_infw_cd=CASec10200001,LO1378089814,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F78%2F08%2F98%2F14%2FDSCRP_LO1378089814,https://contents.lotteon.com/itemimage/LO/13/78/08/98/14/_1/37/80/89/81/5/LO1378089814_1378089815_1.jpg/dims/resizemc/360x360,바쏘옴므,베이직 라운드 티셔츠 5종 택1,"30,420원"
https://www.lotteon.com/p/product/LO1349910622?sitmNo=LO1349910622_1349910623&mall_no=1&dp_infw_cd=CASec10200001,LO1349910622,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F49%2F91%2F06%2F22%2FDSCRP_LO1349910622,https://contents.lotteon.com/itemimage/LO/13/49/91/06/22/_1/34/99/10/62/3/LO1349910622_1349910623_1.jpg/dims/resizemc/360x360,,H_ 오리털 경량 라운드 패딩조끼,"19,900원"
https://www.lotteon.com/p/product/LO1378089601?sitmNo=LO1378089601_1378089602&mall_no=1&dp_infw_cd=CASec10200001,LO1378089601,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F78%2F08%2F96%2F01%2FDSCRP_LO1378089601,https://contents.lotteon.com/itemimage/LO/13/78/08/96/01/_1/37/80/89/60/2/LO1378089601_1378089602_1.jpg/dims/resizemc/360x360,바쏘옴므,20FW 터틀넥 스웨터 5종 택1,"53,820원"
https://www.lotteon.com/p/product/LO1349895859?sitmNo=LO1349895859_1349895860&mall_no=1&dp_infw_cd=CASec10200001,LO1349895859,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F49%2F89%2F58%2F59%2FDSCRP_LO1349895859,https://contents.lotteon.com/itemimage/LO/13/49/89/58/59/_1/34/98/95/86/0/LO1349895859_1349895860_1.jpg/dims/resizemc/360x360,지오투,기하학 라인 울니트 베스트_AXWAW19433GYX,"37,050원"
https://www.lotteon.com/p/product/LO1378120990?sitmNo=LO1378120990_1378120991&mall_no=1&dp_infw_cd=CASec10200001,LO1378120990,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F78%2F12%2F09%2F90%2FDSCRP_LO1378120990,https://contents.lotteon.com/itemimage/LO/13/78/12/09/90/_1/37/81/20/99/1/LO1378120990_1378120991_1.jpg/dims/resizemc/360x360,바쏘옴므,20FW 매트 솔리드 울 정장세트 3종 택1,"131,820원"
https://www.lotteon.com/p/product/LO1349897834?sitmNo=LO1349897834_1349897835&mall_no=1&dp_infw_cd=CASec10200001,LO1349897834,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F49%2F89%2F78%2F34%2FDSCRP_LO1349897834,https://contents.lotteon.com/itemimage/LO/13/49/89/78/34/_1/34/98/97/83/5/LO1349897834_1349897835_1.jpg/dims/resizemc/360x360,지오투,페어아일 울혼방 베스트_AXWAW19433NYX,"37,050원"
