상세보기 페이지 URL,상품 ID,상세보기 innerHtml URL, 썸네일 URL,브랜드명,상품명,가격
https://www.lotteon.com/p/product/LE1202599726?sitmNo=LE1202599726_1213440540&mall_no=1&dp_infw_cd=CASec10200001,LE1202599726,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F02%2F59%2F97%2F26%2FDSCRP_LE1202599726,https://contents.lotteon.com/itemimage/_v044249/LE/12/02/59/97/26/_1/21/34/40/54/0/LE1202599726_1213440540_1.jpg/dims/resizemc/360x360,앤듀,여성 구스 롱 다운 점퍼 O184DW010P,"59,000원"
https://www.lotteon.com/p/product/LO1391802115?sitmNo=LO1391802115_1391802116&mall_no=1&dp_infw_cd=CASec10200001,LO1391802115,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F91%2F80%2F21%2F15%2FDSCRP_LO1391802115,https://contents.lotteon.com/itemimage/LO/13/91/80/21/15/_1/39/18/02/11/6/LO1391802115_1391802116_1.jpg/dims/resizemc/360x360,에스티듀퐁,[온세상쿠폰][듀퐁] 남성 정장셔츠 25종 단 하루 특가,"36,260원"
https://www.lotteon.com/p/product/LO1349897834?sitmNo=LO1349897834_1349897835&mall_no=1&dp_infw_cd=CASec10200001,LO1349897834,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F49%2F89%2F78%2F34%2FDSCRP_LO1349897834,https://contents.lotteon.com/itemimage/LO/13/49/89/78/34/_1/34/98/97/83/5/LO1349897834_1349897835_1.jpg/dims/resizemc/360x360,지오투,페어아일 울혼방 베스트_AXWAW19433NYX,"37,050원"
https://www.lotteon.com/p/product/LO1350014248?sitmNo=LO1350014248_1350014249&mall_no=1&dp_infw_cd=CASec10200001,LO1350014248,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F50%2F01%2F42%2F48%2FDSCRP_LO1350014248,https://contents.lotteon.com/itemimage/LO/13/50/01/42/48/_1/35/00/14/24/9/LO1350014248_1350014249_1.jpg/dims/resizemc/360x360,지오투,올오버 하운드투스 티셔츠_AXTAW19311NYX,"37,050원"
https://www.lotteon.com/p/product/LO1350000546?sitmNo=LO1350000546_1350000547&mall_no=1&dp_infw_cd=CASec10200001,LO1350000546,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F50%2F00%2F05%2F46%2FDSCRP_LO1350000546,https://contents.lotteon.com/itemimage/LO/13/50/00/05/46/_1/35/00/00/54/7/LO1350000546_1350000547_1.jpg/dims/resizemc/360x360,지오투,올오버 하운드투스 티셔츠_AXTAW19311GYD,"37,050원"
https://www.lotteon.com/p/product/PD4498813?mall_no=1&dp_infw_cd=CASec10200001,LO1276578697,http://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F12%2F76%2F57%2F86%2F97%2FDSCRP_LO1276578697,https://contents.lotteon.com/itemimage/LO/12/76/57/86/97/_1/27/65/78/69/8/LO1276578697_1276578698_1.jpg/dims/resizemc/360x360,루시앙,[온세상쿠폰] 19FW 남성 하운드투스 기모셔츠 3종 택1,"14,900원"
https://www.lotteon.com/p/product/LE1205966987?sitmNo=LE1205966987_1232702991&mall_no=1&dp_infw_cd=CASec10200001,LE1205966987,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F05%2F96%2F69%2F87%2FDSCRP_LE1205966987,https://contents.lotteon.com/itemimage/LE/12/05/96/69/87/_1/23/27/02/99/1/LE1205966987_1232702991_1.jpg/dims/resizemc/360x360,폴햄,공용_오버핏 체크셔츠형 보아점퍼(PHZ4JP3043),"12,400원"
https://www.lotteon.com/p/product/LO1274458072?sitmNo=LO1274458072_1274458073&mall_no=1&dp_infw_cd=CASec10200001,LO1274458072,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F12%2F74%2F45%2F80%2F72%2FDSCRP_LO1274458072,https://contents.lotteon.com/itemimage/LO/12/74/45/80/72/_1/27/44/58/07/3/LO1274458072_1274458073_1.jpg/dims/resizemc/360x360,시리즈,[series] 라운드 다잉 티셔츠_SATAA20001GYL,"139,000원"
https://www.lotteon.com/p/product/LO1328055753?sitmNo=LO1328055753_1328055754&mall_no=1&dp_infw_cd=CASec10200001,LO1328055753,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F28%2F05%2F57%2F53%2FDSCRP_LO1328055753,https://contents.lotteon.com/itemimage/LO/13/28/05/57/53/_1/32/80/55/75/4/LO1328055753_1328055754_1.jpg/dims/resizemc/360x360,시리즈,[series] 반하이넥 슬럽 티셔츠_SATAW20201IVX,"139,000원"
https://www.lotteon.com/p/product/LO1337524533?sitmNo=LO1337524533_1337524534&mall_no=1&dp_infw_cd=CASec10200001,LO1337524533,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F37%2F52%2F45%2F33%2FDSCRP_LO1337524533,https://contents.lotteon.com/itemimage/LO/13/37/52/45/33/_1/33/75/24/53/4/LO1337524533_1337524534_1.jpg/dims/resizemc/360x360,타미힐피거,스트레치 슬림핏 플래그 티셔츠 T12A6TPO050MT5 2종택 1,"70,200원"
https://www.lotteon.com/p/product/LO1374981564?sitmNo=LO1374981564_1374981565&mall_no=1&dp_infw_cd=CASec10200001,LO1374981564,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F74%2F98%2F15%2F64%2FDSCRP_LO1374981564,https://contents.lotteon.com/itemimage/LO/13/74/98/15/64/_1/37/49/81/56/5/LO1374981564_1374981565_1.jpg/dims/resizemc/360x360,페르지노몬티,[온세상쿠폰] 슬림핏 빅사이즈 컬러풀 옥스포드 셔츠 FMSH3065ME,"16,020원"
https://www.lotteon.com/p/product/LO1328165801?sitmNo=LO1328165801_1328165802&mall_no=1&dp_infw_cd=CASec10200001,LO1328165801,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F28%2F16%2F58%2F01%2FDSCRP_LO1328165801,https://contents.lotteon.com/itemimage/LO/13/28/16/58/01/_1/32/81/65/80/2/LO1328165801_1328165802_1.jpg/dims/resizemc/360x360,프랑코페라로,[온세상쿠폰][] 남성 셔츠 레이어드 스웨터 딥핑크 (ASX230274),"38,770원"
https://www.lotteon.com/p/product/LO1215119857?sitmNo=LO1215119857_1215119858&mall_no=1&dp_infw_cd=CASec10200001,LO1215119857,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F12%2F15%2F11%2F98%2F57%2FDSCRP_LO1215119857,https://contents.lotteon.com/itemimage/_v163007/LO/12/15/11/98/57/_1/21/51/19/85/8/LO1215119857_1215119858_1.png/dims/resizemc/360x360,타미진,[온세상쿠폰][남성] 코튼 와이드핏 솔리드 밴딩 팬츠 T32A6WPC045MT1 BDS,"80,640원"
https://www.lotteon.com/p/product/LE1205589896?sitmNo=LE1205589896_1230626378&mall_no=1&dp_infw_cd=CASec10200001,LE1205589896,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F05%2F58%2F98%2F96%2FDSCRP_LE1205589896,https://contents.lotteon.com/itemimage/_v063509/LE/12/05/58/98/96/_1/23/06/26/37/8/LE1205589896_1230626378_1.jpg/dims/resizemc/360x360,라코스테,남성 베이직 방모 Y-넥 가디건 AH250E-20C_6컬러,"265,050원"
https://www.lotteon.com/p/product/LE1203501138?sitmNo=LE1203501138_1218304264&mall_no=1&dp_infw_cd=CASec10200001,LE1203501138,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F03%2F50%2F11%2F38%2FDSCRP_LE1203501138,https://contents.lotteon.com/itemimage/_v000653/LE/12/03/50/11/38/_1/21/83/04/26/4/LE1203501138_1218304264_1.jpg/dims/resizemc/360x360,폴햄,남성용 슬림핏 코튼 스판 치노팬츠 (PHA1PP1012),"22,730원"
https://www.lotteon.com/p/product/LO1337013692?sitmNo=LO1337013692_1337013693&mall_no=1&dp_infw_cd=CASec10200001,LO1337013692,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F37%2F01%2F36%2F92%2FDSCRP_LO1337013692,https://contents.lotteon.com/itemimage/_v145100/LO/13/37/01/36/92/_1/33/70/13/69/3/LO1337013692_1337013693_1.jpg/dims/resizemc/360x360,라코스테,"[온세상 쿠폰가 : 55,410원] 안감 기모 맨투맨 SH7613","69,260원"
